CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES00XXXXXXXXXXXXXXDB;09/09/2015;8;0,293;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;9;0,11;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;10;0,655;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;11;0,126;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;12;0,112;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;13;0,107;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;14;0,628;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;15;0,161;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;16;0,17;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;17;0,13;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;18;0,189;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;19;0,393;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;20;0,251;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;21;0,937;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;22;0,454;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;23;0,415;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;24;1,02;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;1;0,263;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;2;0,163;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;3;0,112;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;4;0,113;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;5;0,095;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;6;0,113;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;7;0,102;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;8;0,264;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;9;0,143;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;10;0,146;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;11;0,781;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;12;0,195;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;13;0,125;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;14;0,858;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;15;0,194;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;16;0,211;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;17;0,219;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;18;0,144;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;19;0,143;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;20;0,263;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;21;0,966;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;22;0,445;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;23;0,311;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;24;1,445;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;1;0,431;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;2;0,105;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;3;0,113;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;4;0,146;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;5;0,131;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;6;0,107;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;7;0,099;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;8;0,206;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;9;0,12;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;10;0,126;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;11;0,17;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;12;0,95;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;13;1,011;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;14;0,35;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;15;0,68;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;16;0,3;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;17;0,242;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;18;0,16;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;19;0,131;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;20;0,254;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;21;0,52;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;22;0,381;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;23;0,404;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;24;0,341;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;1;0,293;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;2;0,122;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;3;0,108;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;4;0,112;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;5;0,115;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;6;0,103;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;7;0,156;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;8;0,117;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;9;0,1;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;10;0,279;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;11;0,226;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;12;0,122;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;13;0,734;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;14;0,211;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;15;0,106;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;16;0,138;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;17;0,717;R
