AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE
2021;6;4;13;1;0,000112822436;0,000173909282;0,000259417138
2021;6;4;14;1;0,000121222289;0,000168108522;0,000249637798
2021;6;4;15;1;0,000122046682;0,000151373975;0,000235159068
2021;6;4;16;1;0,000112622393;0,000141673502;0,000214289576
2021;6;4;17;1;0,000107644622;0,000139842396;0,000249648005
2021;6;4;18;1;0,000108099436;0,000139256163;0,000211657742
2021;6;4;19;1;0,000108155154;0,000136508336;0,000187497364
2021;6;4;20;1;0,000108390102;0,000132172143;0,000200551550
2021;6;4;21;1;0,000111511740;0,000126096295;0,000193975612
2021;6;4;22;1;0,000122203553;0,000122309218;0,000196734298
2021;6;4;23;1;0,000127601994;0,000122365630;0,000189360790
2021;6;4;24;1;0,000112604482;0,000112353156;0,000130362518
2021;6;5;1;1;0,000095443777;0,000102159624;0,000104609368
2021;6;5;2;1;0,000081118543;0,000093881160;0,000050056605
2021;6;5;3;1;0,000071537040;0,000089637995;0,000049930669
2021;6;5;4;1;0,000066336597;0,000087456866;0,000039873261
2021;6;5;5;1;0,000063735681;0,000086999751;0,000036214439
2021;6;5;6;1;0,000063071145;0,000087557132;0,000032875813
2021;6;5;7;1;0,000062245509;0,000085165964;0,000026139614
2021;6;5;8;1;0,000064037338;0,000082045403;0,000024878922
2021;6;5;9;1;0,000078394519;0,000093538116;0,000046328116
2021;6;5;10;1;0,000096342329;0,000106231469;0,000083718844
2021;6;5;11;1;0,000109071608;0,000118196150;0,000105809772
2021;6;5;12;1;0,000113477737;0,000123382205;0,000151733287
2021;6;5;13;1;0,000116198152;0,000126423459;0,000151859222
2021;6;5;14;1;0,000123810462;0,000123695738;0,000170762916
2021;6;5;15;1;0,000123763417;0,000116135428;0,000155209905
2021;6;5;16;1;0,000110231434;0,000112314781;0,000149382048
2021;6;5;17;1;0,000102179172;0,000109766881;0,000168133011
2021;6;5;18;1;0,000099803246;0,000109447532;0,000125465058
2021;6;5;19;1;0,000100274386;0,000109755527;0,000138173806
2021;6;5;20;1;0,000100943872;0,000112342468;0,000146895496
2021;6;5;21;1;0,000105006827;0,000114261531;0,000131524690
2021;6;5;22;1;0,000116426333;0,000115342600;0,000174402982
2021;6;5;23;1;0,000122681649;0,000117950785;0,000161891175
2021;6;5;24;1;0,000109971881;0,000109355206;0,000119322362
2021;6;6;1;1;0,000094837299;0,000098771452;0,000098072835
2021;6;6;2;1;0,000081635441;0,000090781947;0,000067976150
2021;6;6;3;1;0,000072113969;0,000086518741;0,000045348736
2021;6;6;4;1;0,000066600474;0,000084955902;0,000038964459
2021;6;6;5;1;0,000063596831;0,000084250219;0,000037833233
2021;6;6;6;1;0,000062487435;0,000084476899;0,000036265697
2021;6;6;7;1;0,000060640572;0,000081431353;0,000023632948
2021;6;6;8;1;0,000060323277;0,000073915328;0,000029102709
2021;6;6;9;1;0,000071432552;0,000079019908;0,000058320996
2021;6;6;10;1;0,000089144260;0,000086231550;0,000050275276
2021;6;6;11;1;0,000104323890;0,000092428982;0,000067700205
2021;6;6;12;1;0,000111513959;0,000097290475;0,000109247848
2021;6;6;13;1;0,000115046447;0,000101202806;0,000128240312
2021;6;6;14;1;0,000122018527;0,000102177180;0,000173960344
2021;6;6;15;1;0,000122094211;0,000100410091;0,000151361825
2021;6;6;16;1;0,000108114482;0,000097061416;0,000152422259
2021;6;6;17;1;0,000100241748;0,000093389958;0,000110175366
2021;6;6;18;1;0,000098512407;0,000090652148;0,000094056476
2021;6;6;19;1;0,000100797336;0,000090502210;0,000119491007
2021;6;6;20;1;0,000104187978;0,000092459472;0,000140458422
2021;6;6;21;1;0,000111572607;0,000095146754;0,000149258293
2021;6;6;22;1;0,000125517083;0,000100498253;0,000159634368
2021;6;6;23;1;0,000130113561;0,000105896963;0,000157444153
2021;6;6;24;1;0,000112389147;0,000098334046;0,000111800691
2021;6;7;1;1;0,000093108972;0,000093984843;0,000071006956
2021;6;7;2;1;0,000077787536;0,000088907624;0,000042800585
2021;6;7;3;1;0,000068977677;0,000086545526;0,000027611731
2021;6;7;4;1;0,000065001685;0,000085205502;0,000016273022
2021;6;7;5;1;0,000063137095;0,000085175600;0,000026764819
2021;6;7;6;1;0,000063295500;0,000087663929;0,000018010393
2021;6;7;7;1;0,000066189319;0,000090882558;0,000031295197
2021;6;7;8;1;0,000075582206;0,000101248940;0,000042263006
2021;6;7;9;1;0,000089662200;0,000133361583;0,000091868919
2021;6;7;10;1;0,000099105862;0,000154574176;0,000177395009
2021;6;7;11;1;0,000106158418;0,000164647961;0,000265193045
2021;6;7;12;1;0,000109350153;0,000168873913;0,000262336970
2021;6;7;13;1;0,000114475752;0,000171891238;0,000240152083
2021;6;7;14;1;0,000124178958;0,000165776829;0,000250256462
2021;6;7;15;1;0,000125242493;0,000150752174;0,000254644187
2021;6;7;16;1;0,000114633952;0,000144029885;0,000229082163
