AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE;RESERVADO;
2021;07;01;1;1;0.000105916551;0.000094379376;0.000062534434;;
2021;07;01;2;1;0.000089201476;0.000087555598;0.000038631492;;
2021;07;01;3;1;0.000079321616;0.000083657798;0.000034240313;;
2021;07;01;4;1;0.000074114146;0.000081755076;0.000023209845;;
2021;07;01;5;1;0.000071310694;0.000081381432;0.000019209765;;
2021;07;01;6;1;0.000070418930;0.000083345649;0.000021075218;;
2021;07;01;7;1;0.000072742293;0.000089418880;0.000025774961;;
2021;07;01;8;1;0.000077649602;0.000099199412;0.000037301101;;
2021;07;01;9;1;0.000089241439;0.000129679891;0.000074330216;;
2021;07;01;10;1;0.000100431698;0.000149953513;0.000133079814;;
2021;07;01;11;1;0.000109474057;0.000162267155;0.000182910593;;
2021;07;01;12;1;0.000114064779;0.000168174568;0.000183415644;;
2021;07;01;13;1;0.000120219047;0.000172426375;0.000147020540;;
2021;07;01;14;1;0.000130082981;0.000169324886;0.000164665443;;
2021;07;01;15;1;0.000134426607;0.000155415227;0.000172290450;;
2021;07;01;16;1;0.000128964482;0.000147514707;0.000159153492;;
2021;07;01;17;1;0.000125773960;0.000146747234;0.000168971743;;
2021;07;01;18;1;0.000126440499;0.000147168112;0.000138547685;;
2021;07;01;19;1;0.000125945721;0.000142583150;0.000136744601;;
2021;07;01;20;1;0.000124505081;0.000135577426;0.000135346214;;
2021;07;01;21;1;0.000125865495;0.000126812831;0.000134894153;;
2021;07;01;22;1;0.000135247108;0.000120830619;0.000152119822;;
2021;07;01;23;1;0.000142278535;0.000117573118;0.000124731698;;
2021;07;01;24;1;0.000126685692;0.000106204643;0.000099576210;;
2021;07;02;1;1;0.000108387664;0.000097582947;0.000061118044;;
2021;07;02;2;1;0.000091805426;0.000090507889;0.000048211204;;
2021;07;02;3;1;0.000081019992;0.000085813133;0.000034845707;;
2021;07;02;4;1;0.000075235841;0.000083804465;0.000021825353;;
2021;07;02;5;1;0.000072295777;0.000083312729;0.000016735634;;
2021;07;02;6;1;0.000071400358;0.000085299358;0.000028347802;;
2021;07;02;7;1;0.000073601719;0.000091141619;0.000037389032;;
2021;07;02;8;1;0.000078572661;0.000101607323;0.000041093575;;
2021;07;02;9;1;0.000090087668;0.000133092808;0.000072092080;;
2021;07;02;10;1;0.000101572612;0.000153433964;0.000165386720;;
2021;07;02;11;1;0.000111070638;0.000165996012;0.000236944978;;
2021;07;02;12;1;0.000115867463;0.000171877938;0.000216337598;;
2021;07;02;13;1;0.000122164204;0.000176365200;0.000160887580;;
2021;07;02;14;1;0.000132048801;0.000173188820;0.000141370855;;
2021;07;02;15;1;0.000136552028;0.000157663419;0.000173875721;;
2021;07;02;16;1;0.000131795663;0.000145992741;0.000171560957;;
2021;07;02;17;1;0.000128812326;0.000143242201;0.000137071132;;
2021;07;02;18;1;0.000128964435;0.000142915266;0.000147029678;;
