Fecha;EUA;CER;SPREAD (EUA - CER)
06-08-2021;56.49;0.00;"56,49"
09-08-2021;56.42;0.00;"56,42"
10-08-2021;57.10;0.00;"57,1"
11-08-2021;57.70;0.00;"57,7"
12-08-2021;56.00;0.00;56
13-08-2021;55.31;0.00;"55,31"
16-08-2021;57.98;0.00;"57,98"
17-08-2021;57.08;0.00;"57,08"
18-08-2021;56.89;0.00;"56,89"
19-08-2021;53.44;0.00;"53,44"
20-08-2021;54.32;0.00;"54,32"
23-08-2021;55.27;0.00;"55,27"
24-08-2021;56.53;0.00;"56,53"
25-08-2021;56.37;0.00;"56,37"
26-08-2021;56.81;0.00;"56,81"
27-08-2021;58.94;0.00;"58,94"
30-08-2021;60.59;0.00;"60,59"
31-08-2021;60.68;0.00;"60,68"
01-09-2021;60.05;0.00;"60,05"
02-09-2021;61.45;0.00;"61,45"
03-09-2021;61.23;0.00;"61,23"
06-09-2021;62.24;0.00;"62,24"
07-09-2021;61.93;0.00;"61,93"
08-09-2021;62.39;0.00;"62,39"
09-09-2021;62.69;0.00;"62,69"
10-09-2021;60.89;0.00;"60,89"
13-09-2021;61.01;0.00;"61,01"
14-09-2021;59.80;0.00;"59,8"
